ID,Subject,FreqChild,FreqAdult,Gender,Age,Item,Lexicality,Cond,Frequency,CorrectResponse,Response,Latency,AcousticDuration,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40
1,2,1.75,4,M,23,fuck,Word,Profane,19307,1,1,966216,0.478,-0.084344626,-0.113127959,-0.127127959,-0.145127959,-0.117527959,-0.062994626,-0.014861292,0.043262517,0.100205374,0.118338708,0.115138708,0.113405374,0.123005374,0.108338708,0.111405374,0.113938708,0.119738708,0.062952994,0.063138708,0.093672041,0.066472041,0.012472041,0.028072041,0.090205374,0.174338708,0.247405374,0.273005374,0.291805374,0.300472041,0.334872041,0.371805374,0.353938708,0.304338708,0.322205374,0.342338708,0.335627597,0.302731382,0.291805374,0.309405374,0.243138708
2,2,1.75,4,M,23,bullshit,Word,Profane,3537,1,1,1029163,0.5675,0.152840118,0.154411547,0.170906785,0.178640118,0.215440118,0.277573451,0.337973451,0.323040118,0.316506785,0.317440118,0.331173451,0.360506785,0.396240118,0.418506785,0.387440118,0.376373451,0.402106785,0.402506785,0.407840118,0.408240118,0.400773451,0.381306785,0.373840118,0.386106785,0.404240118,0.400240118,0.370506785,0.389973451,0.382240118,0.384106785,0.393306785,0.399440118,0.415040118,0.465306785,0.474773451,0.513973451,0.543173451,0.561173451,0.526373451,0.558373451
3,2,1.75,4,M,23,bitch,Word,Profane,8609,1,1,1154344,0.7485,-0.044950427,-0.083683761,-0.076617094,-0.084750427,-0.096617094,-0.086750427,-0.052483761,-0.039283761,0.007916239,0.075249573,0.107649573,0.123116239,0.149382906,0.177782906,0.214182906,0.225649573,0.226449573,0.234849573,0.234582906,0.196182906,0.158716239,0.144982906,0.124582906,0.097782906,0.124849573,0.108449573,0.103516239,0.093916239,0.094849573,0.037382906,0.022049573,-0.010217094,-0.037683761,-0.057817094,-0.076093284,-0.088217094,-0.071683761,-0.081417094,-0.090350427,-0.074350427
4,2,1.75,4,M,23,damn,Word,Profane,14460,1,1,1268680,0.72,0.152819143,0.182952476,0.18508581,0.212552476,0.224552476,0.236552476,0.22988581,0.201752476,0.188819143,0.245752476,0.33028581,0.36548581,0.403752476,0.43268581,0.39788581,0.42748581,0.44788581,0.430952476,0.46028581,0.505352476,0.472019143,0.365619143,0.354152476,0.34748581,0.346952476,0.344419143,0.22828581,0.174819143,0.133219143,0.081752476,0.03708581,0.005352476,0.025752476,0.04388581,0.07828581,0.06748581,0.04988581,0.05108581,0.05828581,0.063352476
5,2,1.75,4,M,23,dick,Word,Profane,2703,1,1,1185751,0.694,-0.007177586,-0.050641872,-0.04446092,0.006605747,0.023805747,0.08433908,0.103405747,0.04953908,0.035672414,0.105005747,0.07793908,0.11033908,0.140205747,0.16353908,0.179805747,0.20433908,0.22593908,0.19753908,0.165005747,0.14313908,0.133405747,0.13273908,0.089272414,0.037405747,-0.014994253,-0.01286092,-0.064994253,-0.06246092,-0.073927586,-0.052327586,-0.01206092,0.006605747,0.051005747,0.090995491,-0.036905364,-0.037376475,0.00633908,-0.009794253,-0.083394253,-0.095527586
6,2,1.75,4,M,23,asshole,Word,Profane,3142,1,1,1162978,0.4225,-0.051076169,-0.047701169,-0.032701169,-0.009634502,0.001565498,0.005965498,0.002365498,-0.004301169,0.015565498,0.054765498,0.065965498,0.058365498,0.052765498,0.069565498,0.040098831,0.026498831,0.073032165,0.086765498,0.088098831,0.062765498,0.056632165,0.020098831,-0.001234502,-0.001101169,-0.033101169,-0.046034502,-0.056301169,-0.041767835,-0.023234502,-0.018967835,-0.004834502,-0.006967835,-0.012034502,0.025165498,0.043698831,-0.002434502,-0.032967835,-0.063634502,-0.114834502,-0.171234502
7,2,1.75,4,M,23,cunt,Word,Profane,350,1,1,1309553,0.5705,0.003787771,0.0542342,0.079529438,0.088996105,0.135129438,0.181529438,0.208329438,0.166062771,0.187796105,0.301796105,0.299529438,0.248196105,0.176596105,0.195129438,0.250329438,0.281396105,0.276729438,0.224996105,0.238462771,0.242462771,0.281662771,0.264596105,0.245929438,0.190729438,0.128596105,0.096996105,0.098996105,0.092462771,0.004462771,-0.038837229,-0.100870562,-0.087937229,-0.044003895,0.036585848,0.079662771,0.139218327,0.127262771,0.116729438,0.148729438,0.168729438
8,2,1.75,4,M,23,twat,Word,Profane,67,1,1,1368273,0.558,0.016905282,0.022101711,0.009463616,0.003063616,-0.013736384,0.000663616,0.010263616,0.042796949,0.000263616,-0.105069718,-0.172269718,-0.202003051,-0.180403051,-0.131469718,-0.061336384,0.014263616,0.028130282,0.033196949,0.065196949,0.070396949,0.093596949,0.081101711,,0.065940539,-0.065603051,0.048130282,-0.053869718,-0.189736384,-0.238403051,-0.227603051,-0.173603051,-0.126669718,-0.132803051,-0.098803051,-0.080003051,-0.054803051,-0.015603051,0.004396949,0.039330282,0.046663616
9,2,1.75,4,M,23,shit,Word,Profane,24207,1,1,1244962,0.8125,-0.041024986,-0.081758319,-0.127739272,-0.139624986,-0.158558319,-0.138424986,-0.144158319,-0.154024986,-0.166291652,-0.170291652,-0.174424986,-0.212291652,-0.250291652,-0.231358319,-0.193758319,-0.119491652,-0.112424986,-0.130691652,-0.143758319,-0.172424986,-0.157408444,-0.261491652,-0.202691652,-0.226958319,-0.342158319,-0.404958319,-0.425491652,-0.435891652,-0.395624986,-0.364558319,-0.345491652,-0.322291652,-0.273358319,-0.261891652,-0.245891652,-0.210291652,-0.173491652,-0.175491652,-0.167891652,-0.147491652
10,2,1.75,4,M,23,motherfucker,Word,Profane,2616,1,1,1306024,0.586,-0.403084765,-0.364656194,-0.336709765,-0.300799051,-0.303218099,-0.246684765,-0.216684765,-0.238951432,-0.200951432,-0.059084765,0.018648568,0.025981901,0.023181901,0.071715235,0.172781901,0.251581901,0.409848568,0.485048568,0.496381901,0.483315235,0.422515235,0.370781901,0.337048568,0.333315235,0.257048568,0.195581901,0.161715235,0.129315235,0.124515235,0.143048568,0.167448568,0.161315235,0.095848568,0.057048568,0.032781901,0.061181901,0.143715235,0.160515235,0.138781901,0.086648568
11,2,1.75,4,M,23,fornicate,Word,Technical,25,1,1,1502583,0.5895,0.054543784,0.055535451,0.036168784,0.024202117,0.002868784,0.030418784,0.03588307,-0.011131216,-0.052206216,-0.060474073,-0.021531216,0.037935451,0.075402117,0.067802117,0.127002117,0.177402117,0.248602117,0.335135451,0.350068784,0.351935451,0.307402117,0.280468784,0.276868784,0.288735451,0.245135451,0.187535451,0.167135451,0.163402117,0.177668784,0.165935451,0.177002117,0.140202117,0.159535451,0.166335451,0.152068784,0.123135451,0.115268784,0.116468784,0.118468784,0.062868784
12,2,1.75,4,M,23,crap,Word,Technical,3151,1,1,1184613,0.7375,-0.136509293,-0.145709293,-0.16517596,-0.218433103,-0.100956912,-0.326004531,-0.278109293,-0.312909293,-0.41037596,-0.46877596,-0.46157596,-0.40357596,-0.332242627,-0.285042627,-0.219309293,-0.19157596,-0.177442627,-0.15837596,-0.108509293,-0.05237596,-0.061709293,-0.11637596,-0.10077596,-0.112242627,-0.09077596,-0.121442627,-0.130642627,-0.14197596,-0.14797596,-0.148909293,-0.129842627,-0.120642627,-0.126909293,-0.176909293,-0.183442627,-0.19517596,-0.191442627,-0.16437596,-0.124242627,-0.121309293
