Item,Code,Condition,Lexicality,Nletters,Nsyllables,Nphonemes,Frequency,Match,Dur
fuck,1,Profane,1,4,1,3,378.5686275,1,0.587
bullshit,1,Profane,1,8,2,6,69.35294118,2,0.533
bitch,1,Profane,1,5,1,3,168.8039216,3,0.5885
damn,1,Profane,1,4,1,3,283.5294118,4,0.5275
dick,1,Profane,1,4,1,3,53,5,0.4225
asshole,1,Profane,1,7,2,5,61.60784314,6,0.7485
cunt,1,Profane,1,4,1,4,6.862745098,7,0.5675
twat,1,Profane,1,4,1,4,1.31372549,8,0.668
shit,1,Profane,1,4,1,3,474.6470588,9,0.579
motherfucker,1,Profane,1,12,4,8,51.29411765,10,0.7375
fornicate,2,Technical,1,9,3,8,0.490196078,1,0.801
crap,2,Technical,1,4,1,4,61.78431373,2,0.5705
moron,2,Technical,1,5,2,5,14.78431373,3,0.72
darn,2,Technical,1,4,1,4,13.90196078,4,0.528
penis,2,Technical,1,5,2,5,13.41176471,5,0.694
anus,2,Technical,1,4,2,4,1.098039216,6,0.679
vagina,2,Technical,1,6,3,6,5.058823529,7,0.711
idiot,2,Technical,1,5,3,5,66.21568627,8,0.426
poop,2,Technical,1,4,1,3,5.588235294,9,0.5895
loser,2,Technical,1,5,2,4,27.07843137,10,0.6405
eat,3,Neutral,1,3,1,2,251.8823529,1,0.478
lamp,3,Neutral,1,4,1,4,12.88235294,2,0.548
sweater,3,Neutral,1,7,2,5,13.80392157,3,0.6785
gosh,3,Neutral,1,4,1,3,29.90196078,4,0.6065
leg,3,Neutral,1,3,1,3,56.50980392,5,0.596
arm,3,Neutral,1,3,1,3,65.41176471,6,0.5905
foot,3,Neutral,1,4,1,3,64.92156863,7,0.583
apple,3,Neutral,1,5,2,3,23.66666667,8,0.536
coffee,3,Neutral,1,6,2,4,144.5294118,9,0.6065
table,3,Neutral,1,5,2,4,105.627451,10,0.586
aptitch,4,Nonword,0,7,2,5,0,0,0.782
chorf,4,Nonword,0,5,1,4,0,0,0.597
cryden,4,Nonword,0,6,2,6,0,0,0.784
diligord,4,Nonword,0,8,3,7,0,0,0.7145
frowk,4,Nonword,0,5,1,4,0,0,0.756
gralx,4,Nonword,0,5,1,5,0,0,0.733
gualij,4,Nonword,0,6,2,6,0,0,0.7535
nekmit,4,Nonword,0,6,2,6,0,0,0.6145
noxu,4,Nonword,0,4,2,4,0,0,0.736
pliffal,4,Nonword,0,7,2,5,0,0,0.558
sarpus,4,Nonword,0,6,2,6,0,0,0.973
slurng,4,Nonword,0,6,1,5,0,0,0.8385
tidect,4,Nonword,0,6,2,6,0,0,0.7105
videnk,4,Nonword,0,6,2,6,0,0,0.6935
voonex,4,Nonword,0,6,2,6,0,0,0.8125
voyflen,4,Nonword,0,7,2,7,0,0,0.789
zakle,4,Nonword,0,5,2,4,0,0,0.6445
zardle,4,Nonword,0,6,2,5,0,0,0.6905
zorsk,4,Nonword,0,5,1,5,0,0,0.769
